Tensorflow
1.1551169757288298e-20,0.0033879550081271272,0.0009955649628058053,0.01957504467801105,0.0035394458266100096,1.201714688277919e-06,1.5385850700235889e-21,0.4862112430099485,7.830178986061067e-05,0.4862112430099485
Original
1.1551169757288566e-20,0.003387955008127139,0.0009955649628058106,0.019575044678011116,0.003539445826610022,1.2017146882779274e-06,1.5385850700236242e-21,0.48621124300994933,7.830178986061109e-05,0.4862112430099476
Ascend
1.1551169757288076e-20,0.0033879550081271155,0.0009955649628058038,0.01957504467801102,0.0035394458266100105,1.2017146882779149e-06,1.5385850700235699e-21,0.48621124300994945,7.830178986061055e-05,0.4862112430099477
Descend
1.1551169757288483e-20,0.003387955008127127,0.000995564962805809,0.019575044678011085,0.0035394458266100096,1.2017146882779234e-06,1.5385850700236135e-21,0.48621124300994933,7.830178986061094e-05,0.4862112430099476
Random1
1.1551169757288566e-20,0.003387955008127139,0.0009955649628058106,0.019575044678011085,0.003539445826610022,1.2017146882779274e-06,1.5385850700236353e-21,0.48621124300994933,7.830178986061121e-05,0.4862112430099476
Random2
1.1551169757288237e-20,0.003387955008127127,0.000995564962805807,0.019575044678011085,0.0035394458266100096,1.201714688277919e-06,1.5385850700235915e-21,0.48621124300994933,7.83017898606108e-05,0.4862112430099476
Random3
1.1551169757288545e-20,0.003387955008127133,0.0009955649628058088,0.019575044678011116,0.0035394458266100218,1.2017146882779253e-06,1.5385850700236109e-21,0.4862112430099485,7.830178986061107e-05,0.4862112430099485
Random4
1.155116975728824e-20,0.0033879550081271216,0.0009955649628058038,0.01957504467801102,0.0035394458266100105,1.201714688277917e-06,1.5385850700235919e-21,0.48621124300994945,7.830178986061055e-05,0.4862112430099477
Random5
1.1551169757287993e-20,0.0033879550081271155,0.0009955649628058038,0.01957504467801102,0.0035394458266099975,1.2017146882779107e-06,1.538585070023548e-21,0.48621124300994945,7.830178986061026e-05,0.4862112430099477
Random6
1.155116975728824e-20,0.0033879550081271155,0.0009955649628058038,0.01957504467801102,0.0035394458266100166,1.2017146882779193e-06,1.5385850700236139e-21,0.4862112430099477,7.830178986061068e-05,0.48621124300994945
Random7
