image_id,raw_range,eft_range
0,9.947598300641403e-14,0.0
1,1.9895196601282805e-13,0.0
2,8.526512829121202e-14,0.0
3,1.2789769243681803e-13,0.0
4,8.526512829121202e-14,0.0
5,1.2789769243681803e-13,1.4210854715202004e-14
6,4.973799150320701e-14,0.0
7,7.460698725481052e-14,0.0
8,2.4158453015843406e-13,2.842170943040401e-14
9,9.947598300641403e-14,0.0
10,9.237055564881302e-14,0.0
11,1.7053025658242404e-13,0.0
12,6.394884621840902e-14,0.0
13,8.881784197001252e-14,0.0
14,9.947598300641403e-14,0.0
15,1.5631940186722204e-13,1.4210854715202004e-14
16,5.3290705182007514e-14,0.0
17,1.9895196601282805e-13,0.0
18,3.907985046680551e-14,0.0
19,1.5631940186722204e-13,1.4210854715202004e-14
20,9.947598300641403e-14,0.0
21,1.4210854715202004e-13,0.0
22,1.7053025658242404e-13,0.0
23,2.1316282072803006e-13,0.0
24,6.394884621840902e-14,0.0
25,2.4158453015843406e-13,0.0
26,1.2079226507921703e-13,0.0
27,9.947598300641403e-14,0.0
28,1.0658141036401503e-13,0.0
29,1.1368683772161603e-13,0.0
30,1.0658141036401503e-13,7.105427357601002e-15
31,7.815970093361102e-14,0.0
32,1.0658141036401503e-13,0.0
33,1.4921397450962104e-13,0.0
34,1.5631940186722204e-13,0.0
35,1.5631940186722204e-13,0.0
36,1.2789769243681803e-13,0.0
37,9.947598300641403e-14,0.0
38,9.947598300641403e-14,0.0
39,1.1368683772161603e-13,0.0
40,7.105427357601002e-14,0.0
41,8.526512829121202e-14,0.0
42,1.4210854715202004e-13,0.0
43,7.105427357601002e-14,0.0
44,8.171241461241152e-14,0.0
45,9.237055564881302e-14,0.0
46,1.2789769243681803e-13,0.0
47,9.947598300641403e-14,0.0
48,1.7053025658242404e-13,0.0
49,1.2789769243681803e-13,0.0
50,1.2789769243681803e-13,0.0
51,4.263256414560601e-14,0.0
52,2.2737367544323206e-13,1.4210854715202004e-14
53,1.0658141036401503e-13,0.0
54,1.9895196601282805e-13,0.0
55,9.947598300641403e-14,0.0
56,1.7053025658242404e-13,0.0
57,1.1368683772161603e-13,0.0
58,8.526512829121202e-14,0.0
59,1.4210854715202004e-13,0.0
