Random1
First layer
0.7872181569545673+-0.6242843309412813: 0.0
12.509031278487504+-16.342483323378598: 0.0
18.194360467323328+13.026068444580435: 0.0
-13.96566451376738+0.051236384828679093: 5.551115123125783e-16
8.179279940022283+24.893494365853783: 0.0
-0.830984716733105+-21.578841503555136: 6.661338147750939e-16
31.220428911903763+1.451832048081746: 1.5543122344752192e-15
32.67226095998551+-0.28336494038403126: 1.3322676295501878e-15
-45.92687914097455+20.69070066162669: 0.0
-32.53828976928661+0.08502597517458493: -3.164135620181696e-15
-14.528563701052821+36.61406928753061: 0.0
-0.8336174522633308+3.347219245143407: 2.220446049250313e-16
13.100876263696764+-0.10292183924735528: -7.355227538141662e-16
10.23756588032134+0.33101296678507014: -8.326672684688674e-16
3.536321011682506+-1.6981679739990185: 0.0
-11.97257921276457+-46.00056115819457: 1.7763568394002505e-15
-37.93831131068057+-30.38301204490502: 3.552713678800501e-15
-57.97314037095914+2.226742271828916: -2.220446049250313e-15
6.189902518453633+-10.715233502697977: 0.0
-4.525330984244344+-0.2554675463301143: -3.885780586188048e-16
-25.23617847934786+22.519957583797293: 0.0
-55.746398099130225+-34.75049709222367: 7.105427357601002e-15
-19.245084070952213+-15.995099610555936: 0.0
-8.185444522401534+6.580379283703935: 0.0
-1.6050652386975992+20.953589473457292: -8.881784197001252e-16
3.979129127486627+-47.74559941079062: -2.6645352591003757e-15
32.388896019601475+-45.121725264122: 0.0
1.3514650319147599+-35.24018368150815: -3.552713678800501e-15
-9.97367126584669+0.24271163878850582: -6.106226635438361e-16
22.08550558647779+33.07277430587607: -3.552713678800501e-15
-13.9144281289387+-30.162937784522406: 1.7763568394002505e-15
-3.8334520448910947+7.102942096963288: 0.0
-12.336224909032278+2.513601792880076: 0.0
-4.780798530574458+-2.7436357894967776: 0.0
-23.918976598596718+12.594889089440278: 0.0
2.4851680314435587+12.997954424449409: 0.0
6.559698715040344+11.96725545244126: -1.7763568394002505e-15
55.15827989235386+18.526954167481605: 0.0
-94.21746784172802+-2.845352886046605: 7.105427357601002e-15
-68.32132335558559+-33.52123928072206: 0.0
15.483122455892968+-2.6701339770105887: 8.881784197001252e-16
10.413745219671547+-7.524434320071236: 0.0
-33.888718649593386+3.269490052072193: 0.0
1.8381530376834876+-42.949955791031854: -2.6645352591003757e-15
-5.610420427711241+-50.46623797062863: -8.881784197001252e-16
-90.4968951913539+-22.40982622028824: -3.552713678800501e-15
-8.40637607944734+-43.76647028330399: 1.7763568394002505e-15
-30.619228597521193+-101.84256263630765: 7.105427357601002e-15
10.56857884710641+6.632034149786068: 8.881784197001252e-16
-97.06282072777464+4.302385527916611: -1.7763568394002505e-15
-92.76043519985802+-44.07736591346111: 0.0
-9.822623116152203+2.8893108996003116: 0.0
-12.552265229600593+17.200612996892477: 0.0
73.68523405983547+34.502707605019694: 0.0
-9.730959627058184+-6.933312216551891: -8.881784197001252e-16
108.18794166485516+-35.221088948715575: 0.0
-112.90672141164214+-56.07665839833987: 0.0
-14.47448041928653+-41.111802753348364: -1.7763568394002505e-15
-1.0725407144058705+-11.32408750915644: -8.881784197001252e-16
-55.58628317263489+-12.732829244520524: 7.105427357601002e-15
-136.83780111331913+-20.329670094172783: 1.4210854715202004e-14
12.812988478882378+-5.386557772813593: 0.0
-52.17284636275133+19.348524234759694: 0.0
72.96685271613958+-10.878114877041753: 0.0
-2.716220895550567+4.6483477672918845: 0.0
-16.664271843610074+-157.16747120749193: -7.105427357601002e-15
-32.45326379411202+-173.831743051102: 0.0
-206.285006845214+1.9321268717413176: -1.4210854715202004e-14
-68.31911241715542+-12.39662822356231: 7.105427357601002e-15
-204.35287997347268+62.08873783909783: 0.0
-142.26414213437485+0.162933826013286: 1.3322676295501878e-14
-168.983379809982+-12.815677965829654: -3.552713678800501e-15
-132.46179123382885+-32.824322127991636: -1.4210854715202004e-14
-142.10120830836158+7.426430706068785: 1.3322676295501878e-14
-165.28611336182047+-80.71574064071774: 0.0
-134.6747776022928+-181.79905777581166: 0.0
-246.0018540025382+-316.47383537810447: 5.684341886080802e-14
-33.79894203533346+30.797858670635332: 0.0
6.296560089643438+5.393012406998591: 0.0
-0.9204817518404819+-0.09277618366479941: 4.163336342344337e-17
15.581913218750046+-0.05591567013807243: -5.689893001203927e-16
2.945759384995369+5.357459304909072: 4.440892098500626e-16
